avoine,avoine
bande enherb‚e,bande enherb‚e
ble,ble
ble+orge,ble+orge
ble+orge+avoine,ble+orge+avoine
bosquet,bosquet
cereale,cereale
colza,colza
coupe forestiere,coupe forestiere
divers cereale,divers cereale
emprise EDF,emprise EDF
feverole,feverole
feverole+ble,feverole+ble
foret,foret
friche,friche
haie,haie
jachere,jachere
legumineuse,legumineuse
luzerne,luzerne
luzerne+ray grass,luzerne+ray grass
luzerne+sarazin,luzerne+sarazin
luzerne+sarrazin,luzerne+sarrazin
mais,mais
meteil,meteil
orge,orge
orge+colza,orge+colza
parcours mouton,parcours mouton
pelouse,pelouse
peupleraie,peupleraie
prairie artificielle,prairie artificielle
prairie naturelle,prairie naturelle
ray gass,ray gass
ray grass,ray grass
ray grass+legumineuse,ray grass+legumineuse
ray grass+luz,ray grass+luz
riviere,riviere
sarrasin,sarrasin
soja,soja
sorgho,sorgho
tournesol,tournesol
trefle,trefle
tritical,tritical
verger,verger
vigne,vigne
